,City,Price range,Average price
1243,Vizianagaram,"133 - 19,000 / sqft","17,869.02 / sqft"
1244,Yamunanagar,"111 - 10,702 / sqft","6,601.17 / sqft"
1245,Dharuhera,"940 - 31,976 / sqft","29,956.63 / sqft"
1246,Jind,"1,111 / sqft","1,111.11 / sqft"
1247,Kaithal,"5,051 / sqft","5,50.51 / sqft"
1248,Mithapur,-,-
1249,Rupnagar,"74,813 / sqft","74,812.97 / sqft"
1250,Sitapur,"599 - 1,450 / sqft","1,450 / sqft"
1251,Kushinagar,"419 - 3,167 / sqft","3,125.8 / sqft"
1252,Bijapur,"313 - 2,257 / sqft","2,256.67 / sqft"
1253,Gondia,325 / sqft,325 / sqft
1254,Krishnagiri,"1,099 - 2,777 / sqft","1,658.33 / sqft"
1255,Namakkal,"222 - 8,900 / sqft","8,790.91 / sqft"
1256,Sivaganga,483 - 875 / sqft,625 / sqft
1257,Nilgiris,"435 - 1,000 / sqft","1,000 / sqft"
1258,Thiruvananthapuram,"232 - 1,240 / sqft","1,240.24 / sqft"
1259,Jangaon,"367 - 1,111 / sqft",851.85 / sqft
1260,Sangareddy,"101 - 2,787 / sqft","2,787.09 / sqft"
1261,Sirohi,-,-
1262,Aravalli,-,-
1263,Dungarpur,-,-
1264,Nagaur,"938 - 2,300 / sqft","2,33.33 / sqft"
1265,Tonk,115 / sqft,114.6 / sqft
1266,Jalore,"1,059 / sqft","1,58.82 / sqft"
1267,Hanumangarh,-,-
1268,Himatnagar,109 - 649 / sqft,649 / sqft
1269,Gudivada,"106 - 4,396 / sqft","4,395.6 / sqft"
1270,Dhar,"1,616 - 2,820 / sqft","2,820 / sqft"
1271,Jagdalpur,-,-
1272,Rajnandgaon,551 / sqft,551 / sqft
1273,Chhota Udepur,-,-
1274,Raisen,-,-
1275,Morinda,-,-
1276,Gondal,-,-
1277,Mandsaur,-,-
1278,Betul,-,-
1279,Boranada,-,-
1280,Surendranagar,-,-
1281,Vidisha,650 / sqft,650 / sqft
1282,Banaskantha,599 / sqft,599 / sqft
1283,Amreli,"1,310 / sqft","1,310.17 / sqft"
1284,Peddapalli,-,-
1285,Chapra,"500 - 1,833 / sqft","1,792.02 / sqft"
1286,Yadgir,"1,111 / sqft","1,111.11 / sqft"
1287,Daman,-,-
1288,Karaikudi,-,-
1289,Ramgarh,"505 - 3,103 / sqft","2,237.35 / sqft"
1290,Rajgarh,-,-
1291,Chhatarpur,-,-
1292,Purba Medinipur,-,-
1293,Saharsa,-,-
1294,Vaishali,-,-
1295,Chandauli,"599 - 1,176 / sqft","1,122.99 / sqft"
1296,Bardhaman,"3,061 - 3,929 / sqft","3,495.25 / sqft"
1297,Darrang,-,-
1298,Gurdaspur,"1,112 / sqft","1,111.85 / sqft"
1299,Alipurduar,-,-
1300,West Medinipur,175 / sqft,175 / sqft
1301,Damoh,-,-
1302,Faridkot,-,-
1303,Sangrur,-,-
